TimePeriod,GeoType,GeoID,GeoRank,Geography,Number,Percent,
2017-21,CDTA2020,501,7,Melrose-Mott Haven-Port Morris (CD 1),41 036,42.4,Bronx
2017-21,CDTA2020,502,7,Longwood-Hunts Point (CD 2),17 447,32.6,Bronx
2017-21,CDTA2020,503,7,Morrisania-Crotona Park East (CD 3),31 520,35.7,Bronx
2017-21,CDTA2020,504,7,Highbridge-Concourse (CD 4),49 561,32.3,Bronx
2017-21,CDTA2020,505,7,Morris Heights-Mount Hope (CD 5),44 753,32.6,Bronx
2017-21,CDTA2020,506,7,Tremont-Belmont-West Farms (CD 6),32 690,39.5,Bronx
2017-21,CDTA2020,507,7,Fordham-Bedford Park-Norwood (CD 7),37 879,26.4,Bronx
2017-21,CDTA2020,508,7,Riverdale-Kingsbridge-Marble Hill (CD 8),18 752,18,Bronx
2017-21,CDTA2020,509,7,Soundview-Parkchester (CD 9),44 131,25.4,Bronx
2017-21,CDTA2020,510,7,Co-op City-Throgs Neck (CD 10),16 501,13,Bronx
2017-21,CDTA2020,511,7,Pelham Parkway-Morris Park (CD 11),20 134,17.1,Bronx
2017-21,CDTA2020,512,7,Wakefield-Williamsbridge-Eastchester (CD 12),28 887,17.3,Bronx
2017-21,CDTA2020,4701,7,Williamsburg-Greenpoint (CD 1),50 578,25.2,Brooklyn
2017-21,CDTA2020,4702,7,Downtown Brooklyn-Fort Greene (CD 2),15 638,13,Brooklyn
2017-21,CDTA2020,4703,7,Bedford-Stuyvesant (CD 3),43 548,24.1,Brooklyn
2017-21,CDTA2020,4704,7,Bushwick (CD 4),26 629,22.6,Brooklyn
2017-21,CDTA2020,4705,7,East New York-Cypress Hills (CD 5),49 149,24.2,Brooklyn
2017-21,CDTA2020,4706,7,Park Slope-Carroll Gardens (CD 6),12 092,9.9,Brooklyn
2017-21,CDTA2020,4707,7,Sunset Park-Windsor Terrace (CD 7),21 012,17.1,Brooklyn
2017-21,CDTA2020,4708,7,Crown Heights (North) (CD 8),19 449,17.6,Brooklyn
